Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
104 STOCKDALE ST,1000734000,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,1359,2024,11,399000,293.60,408200,300.37
95 COOPMAN CRES,1001119400,RESSD - Detached SIngle Dwelling,TS-Two Storey,1997,2050,2024,9,750000,365.85,776300,378.68
465 ELMHURST RD,1001196500,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,1010,2023,9,378000,374.26,419200,415.05
387 ELMHURST RD,1001207500,RESSD - Detached SIngle Dwelling,OS-One Storey,1977,1236,2025,3,492000,398.06,492000,398.06
27 DRAYTON BAY,1001631600,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1985,1578,2023,9,382000,242.08,423600,268.44
3663 ELDRIDGE AVE,1001746000,RESSD - Detached SIngle Dwelling,OS-One Storey,1987,1659,2025,1,695000,418.93,703300,423.93
845 OAKDALE DR,1002221200,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1014,2023,11,350000,345.17,383600,378.30
86 DEERPARK DR,1002240600,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1923,2023,12,651100,338.59,709700,369.06
18 ALENBROOK BAY,1002360000,RESSD - Detached SIngle Dwelling,OS-One Storey,1978,1556,2023,12,435000,279.56,474200,304.76
672 FAIRMONT RD,1002445600,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1938,1246,2023,6,430000,345.10,485000,389.25
4410 GRANT AVE,1002467600,RESSD - Detached SIngle Dwelling,OS-One Storey,1963,1056,2024,10,310000,293.56,319000,302.08
58 WILLIAM MARSHALL WAY,1003352300,RESSD - Detached SIngle Dwelling,TS-Two Storey,1993,2427,2023,2,720000,296.66,830900,342.36
68 VANSCOY RD,1003380600,RESSD - Detached SIngle Dwelling,OS-One Storey,1972,1195,2024,9,460000,384.94,476100,398.41
22 MIRAMAR RD,1003397000,RESSD - Detached SIngle Dwelling,OS-One Storey,2024,2036,2024,10,1200000,589.39,1234800,606.48
94 SAVOY CRES,1003572400,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1976,924,2024,3,384500,416.13,411800,445.67
14 SAVILE AVE,1003577800,RESSD - Detached SIngle Dwelling,OS-One Storey,1977,944,2024,10,415000,439.62,427000,452.33
719 COMMUNITY ROW,1003724200,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1040,2024,10,350000,336.54,360200,346.35
809 COMMUNITY ROW,1003741700,RESSD - Detached SIngle Dwelling,OS-One Storey,1963,960,2023,2,355000,369.79,409700,426.77
6129 BETSWORTH AVE,1004273300,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1636,2024,7,500000,305.62,523500,319.99
537 CHARLESWOOD RD,1004280900,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,1970,2097,2024,6,645370,307.76,679600,324.08
